"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","CODE_JEDEC","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","DATASHEETVERSION","LATESTREVISIONDATE","LATESTREVISIONNOTE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PUBLISHED","PUBLISHER","SUPPLIER 1","SUPPLIER 2","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"A4988Stepper","doubleHeader16","","","","","","","","Pololu","","","","","","","","","","","","","","","","","","","","*","A4988 Stepper",""
"Arduino UNO","Arduino UNO","","","","","","","","*","","","","","","","","","","","","","","","","","","","","*","*",""
"CAP","C0805C","","","","","","","","CAP","","","","","","","","29-May-2009","IPC-7351 Footprint Added.","Chip Capacitor","C1206","","8-Jun-2000","Altium Limited","","","","","value?","","C?","Capacitor"
"CAP Pol","RB.2/.4","RB.2/.6","RB.1/.3","RB.3/.9","RB.4/.18","RB.5/.18","Capacitor axial leaded","","","","","","","","","","","","","","","","","","","","","10uF","","C?","Polarized Capacitor"
"Diode","DSO-C2/X1.8","DSO-C2/X3.3","SMB IPC 7531","DO-201AD Folded","","","","DO-214-AB","Diode","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","DO-214-AB/SMC; 2 C-Bend Leads; Body 7.9 x 5.9 mm, inc. leads (LxW)","SMC","Sep-1996","8-Jun-2000","Altium Limited","","","","","","","D?","Default Diode"
"FT232RL","SSOP-28_M","","","","","","","","FT232RL","Manufacturer Link","http://www.ftdichip.com/Products/ICs/FT232R.htm","Datasheet","http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf","","","ver 2.07, Jul-2010","","","28-Pin Small Outline Package 0.65 mm Pitch","SSOP-28","2010","19-Aug-2010","Altium Limited","","","","","","","U?","USB UART Asynchronous Serial Data Transfer Chip, SSOP-28, Tube"
"Fuse","Fuse Holder 5x20mm","","","","","","","","200mA","","","","","","","","","","","","","","","","","","","","","F?","Standard Fuse Holder"
"Header 10","HDR1X10","","","","","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited","","","","","","","P?","Header, 10-Pin"
"Header 2","HDR1X2","TERM2W-3.5","Bornier male coude 2 voies","B2B-PH-K-S","HDR1X2H","HDR1X2J","","","Header 2","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited","","","","","","","P?","Header, 2-Pin"
"Header 3","HDR1X3","HDR1X3H","","","","","","","Header 3","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited","","","","","","","P?","Header, 3-Pin"
"Header 4","HDR1X4","HDR1X4H","","","","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited","","","","","","","P?","Header, 4-Pin"
"Header 5","HDR1X5","HDR1X5H","","","","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited","","","","","","","P?","Header, 5-Pin"
"Header 6","HDR1X6","HDR1X6H","","","","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited","","","","","","","P?","Header, 6-Pin"
"Header 7","HDR1X7","HDR1X7H","","","","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited","","","","","","","P?","Header, 7-Pin"
"Header 8","HDR1X8","HDR1X8H","","","","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited","","","","","","","P?","Header, 8-Pin"
"Header 9","HDR1X9","","","","","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited","","","","","","","P?","Header, 9-Pin"
"Header ICSP","HDR1X6H","","","","","","","","PICkit","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited","","","","","","","P?","Header, 6-Pin, Right Angle"
"Hole","SCREW","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","HOLE?","Mounting Hole for screws"
"IDC 10","HDR2X5_CEN","","","","","","","","IDC 10","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited","","","","","","","P?","Header, 5-Pin, Dual row"
"IRF640","D2PAK","","","","","","","","IRF640NS","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","TO, Flat Index; 3 In-Line, Axial Leads; Body Dia. 4.6mm; Lead Dia. 0.5 mm (max)","E3","1995/1996","8-Jun-2000","Altium Limited","","","","","","","Q?","N-Channel MOSFET, D2PAK (T0-263), InternationalRectifier"
"L6201P","PowerSO20_M","","","","","","","MO-166","","Manufacturer Link","http://www.st.com/","","","","","Sep-1996","13-Apr-2006","IPC-7351 Footprint Added.","20-Pin Small Outline Package 1.27 mm Pitch","PowerSO20","May-1998","8-Jun-2000","Altium Limited","","","","","","","U?","DMOS Full Bridge Driver"
